!exclamation-point       ɛksklʌmeɪʃʌnpɔɪnt        
"close-quote             kloʊzkwoʊt               
batat                    bʌtɑt                    
batavia                  bʌteɪviʌ                 
batavia(1)               bʌtæviʌ                  
batboy                   bætbɔɪ                   
batboys                  bætbɔɪz                  
batch                    bætʃ                     
batchelder               bætʃɛldɹ̩                
batcheller               bætʃʌlɹ̩                 
batchelor                bætʃʌlɹ̩                 
batches                  bætʃʌz                   
batches(1)               bætʃɪz                   
batdorf                  bætdɔɹf                  
bate                     beɪt                     
bated                    beɪtɪd                   
bateman                  beɪtmʌn                  
bates                    beɪts                    
bates'                   beɪts                    
bateson                  bætɪsʌn                  
bateson(1)               beɪtsʌn                  
bateson(2)               bætsʌn                   
batesville               beɪtsvɪl                 
batey                    beɪti                    
bath                     bæθ                      
bathe                    beɪð                     
bathed                   beɪðd                    
bather                   beɪðɹ̩                   
bather(1)                bæðɹ̩                    
bathers                  beɪðɹ̩z                  
bathers(1)               bæðɹ̩z                   
bathes                   beɪðz                    
bathgate                 bæθɡeɪt                  
bathing                  beɪðɪŋ                   
bathke                   bæθk                     
batholith                bæθʌlɪθ                  
batholiths               bæθʌlɪθs                 
bathrick                 bæθɹɪk                   
bathrobe                 bæθɹoʊb                  
bathrobes                bæθɹoʊbz                 
bathroom                 bæθɹum                   
bathrooms                bæθɹumz                  
bathrooms(1)             bɑθɹumz                  
baths                    bæθs                     
bathsheba                bæθʃibʌ                  
bathtub                  bæθtʌb                   
bathtubs                 bæθtʌbz                  
bathurst                 bæθɹ̩st                  
bathurst's               bæθɹ̩sts                 
batibot                  bætɪbɑt                  
batie                    beɪti                    
batignolles              bætɪnjoʊlʌs              
batik                    bʌtik                    
batiks                   bætɪks                   
batiks(1)                bʌtiks                   
batista                  bʌtɪstɑ                  
batista's                bʌtɪstɑz                 
batiste                  bʌtɪstʌ                  
batley                   bætli                    
batman                   bætmæn                   
batogowski               bætoʊɡaʊski              
baton                    bʌtɑn                    
baton(1)                 bætɑn                    
baton(2)                 bætʌn                    
baton-rouge              bætʌnɹudʒ                
baton-rouge's            bætʌnɹudʒɪz              
batons                   bætɑnz                   
bator                    bɑtɔɹ                    
batra                    bætɹʌ                    
batres                   beɪtɹ̩z                  
bats                     bæts                     
batson                   bætsʌn                   
batson's                 bætsʌnz                  
batt                     bæt                      
battaglia                bɑtɑɡliʌ                 
battaglini               bɑtɑɡlini                
battalion                bʌtæljʌn                 
battalions               bʌtæljʌnz                
batte                    bæt                      
batted                   bætɪd                    
battelle                 bʌtɛl                    
battelle's               bʌtɛlz                   
batten                   bætʌn                    
battenberg               bætʌnbɹ̩ɡ                
battenfield              bætʌnfild                
battening                bætʌnɪŋ                  
batter                   bætɹ̩                    
battered                 bætɹ̩d                   
batterer                 bætɹ̩ɹ̩                  
batterers                bætɹ̩ɹ̩z                 
batteries                bætɹ̩iz                  
battering                bætɹ̩ɪŋ                  
batterman                bætɹ̩mʌn                 
batters                  bætɹ̩z                   
battersby                bætɹ̩sbi                 
battersea                bætɹ̩si                  
batterson                bætɹ̩sʌn                 
battery                  bætɹ̩i                   
batterymarch             bʌtɛɹimɑɹtʃ              
battey                   bæti                     
battiato                 bɑtiɑtoʊ                 
batticaloa               bætɪkʌloʊʌ               
battin                   bætɪn                    
batting                  bætɪŋ                    
battipaglia              bætɪpæɡliʌ               
battis                   bætɪs                    
battison                 bætɪsʌn                  
battista                 bʌtistʌ                  
battiste                 bɑtisti                  
battisti                 bɑtisti                  
battistoni               bɑtistoʊni               
battle                   bætʌl                    
battle's                 bætʌlz                   
battled                  bætʌld                   
battlefield              bætʌlfild                
battlefields             bætʌlfildz               
battlefront              bætʌlfɹʌnt               
battleground             bætʌlɡɹaʊnd              
battlegrounds            bætʌlɡɹaʊndz             
battlement               bætʌlmʌnt                
battlement(1)            bætʌlmɛnt                
battlements              bætʌlmʌnts               
battles                  bætʌlz                   
battleship               bætʌlʃɪp                 
battleships              bætʌlʃɪps                
battling                 bætʌlɪŋ                  
battling(1)              bætlɪŋ                   
batton                   bætʌn                    
batts                    bæts                     
batty                    bæti                     
batuigas                 bætʃuiɡʌs                
batus                    bætʌs                    
batus(1)                 bɔtʌs                    
baty                     beɪti                    
batz                     bæts                     
batzel                   bætzʌl                   
batzer                   beɪtzɹ̩                  
bauble                   bɔbʌl                    
baubles                  bɔbʌlz                   
baublitz                 baʊblɪts                 
bauch                    bɔtʃ                     
baucom                   boʊkɑm                   
baucum                   boʊkʌm                   
baucus                   bɑkʌs                    
baucus(1)                bækʌs                    
baud                     bɔd                      
baudendistel             baʊdɪndɪstʌl             
bauder                   baʊdɹ̩                   
baudoin                  boʊdɔɪn                  
baudouin                 bɔduɪn                   
bauer                    baʊɹ̩                    
bauerle                  baʊɹ̩ʌl                  
bauerlein                baʊɹ̩laɪn                
bauermeister             baʊɹ̩maɪstɹ̩             
bauernfeind              baʊɹ̩nfaɪnd              
bauers                   baʊɹ̩z                   
baugh                    bɔ                       
baughan                  bɔʌn                     
baugher                  bɔɹ̩                     
baughman                 bɔmʌn                    
baughn                   bɔn                      
bauguess                 baʊɡɪs                   
baugus                   bɔɡʌs                    
bauknecht                baʊknɪkt                 
bauknight                bɔknaɪt                  
baum                     bɔm                      
baum(1)                  baʊm                     
bauman                   baʊmʌn                   
baumann                  baʊmʌn                   
baumbach                 baʊmbɑk                  
baumberger               baʊmbɹ̩ɡɹ̩               
baumberger(1)            bɑmbɹ̩ɡɹ̩                
baumeister               baʊmaɪstɹ̩               
baumel                   baʊmʌl                   
baumer                   baʊmɹ̩                   
baumert                  baʊmɹ̩t                  
baumgard                 baʊmɡɹ̩d                 
baumgard(1)              bɑmɡɹ̩d                  
baumgardner              baʊmɡɑɹdnɹ̩              
baumgardner(1)           bɑmɡɑɹdnɹ̩               
baumgardt                baʊmɡɑɹt                 
baumgardt(1)             bɑmɡɑɹt                  
baumgarner               baʊmɡɑɹnɹ̩               
baumgarner(1)            bɑmɡɑɹnɹ̩                
baumgart                 baʊmɡɑɹt                 
baumgart(1)              bɑmɡɑɹt                  
baumgarten               baʊmɡɑɹtʌn               
baumgarten(1)            bɑmɡɑɹtʌn                
baumgartner              baʊmɡɑɹtnɹ̩              
baumgartner(1)           bɑmɡɑɹtnɹ̩               
baumhardt                baʊmhɑɹt                 
baumhardt(1)             bɑmhɑɹt                  
baumhauer                bɑmhaʊɹ̩                 
baumhauer(1)             baʊmhaʊɹ̩                
baumholder               bɑmhɔldɹ̩                
baumholder(1)            baʊmhɔldɹ̩               
baumler                  baʊmʌlɹ̩                 
baumler(1)               bɑmʌlɹ̩                  
baumler(2)               bɑmlɹ̩                   
baumstark                baʊmstɑɹk                
baumstark(1)             bɑmstɑɹk                 
baun                     bɔn                      
baur                     bɔɹ                      
baur(1)                  baʊɹ̩                    
baus                     bɔz                      
bausch                   baʊʃ                     
bauserman                baʊsɹ̩mʌn                
bausman                  baʊsmʌn                  
bautch                   baʊtʃ                    
bautista                 bɔtistʌ                  
bautz                    bɔts                     
bautzer                  baʊtsɹ̩                  
bauwens                  baʊwʌnz                  
bauxite                  bɔksaɪt                  
bauza                    baʊzʌ                    
bava                     bɑvʌ                     
bavadra                  bʌvædɹʌ                  
bavaria                  bʌvɛɹiʌ                  
bavaria's                bʌvɛɹiʌz                 
bavarian                 bʌvɛɹiʌn                 
bavaro                   bɑvɑɹoʊ                  
baver                    beɪvɹ̩                   
bavis                    beɪvɪs                   
bawd                     bɔd                      
bawden                   bɔdʌn                    
bawdy                    bɔdi                     
bawer                    bɔɹ̩                     
bawl                     bɔl                      
bawled                   bɔld                     
bawls                    bɔlz                     
bax                      bæks                     
baxa                     bæksʌ                    
baxendale                bæksʌndeɪl               
baxley                   bæksli                   
baxt                     bækst                    
baxter                   bækstɹ̩                  
baxter's                 bækstɹ̩z                 
bay                      beɪ                      
bay's                    beɪz                     
bay-area                 beɪɛɹiʌ                  
bayanjou                 baɪændʒu                 
bayar                    beɪɹ̩                    
bayard                   beɪɹ̩d                   
baybank                  beɪbæŋk                  
baybank's                beɪbæŋks                 
baybanks                 beɪbæŋks                 
baydhabo                 beɪdɑboʊ                 
baye                     beɪ                      
bayed                    beɪd                     
bayer                    beɪɹ̩                    
bayer's                  beɪɹ̩z                   
bayerische               beɪɹ̩iʃ                  
bayers                   beɪɹ̩z                   
bayes                    beɪz                     
bayh                     beɪ                      
baying                   beɪɪŋ                    
bayle                    beɪl                     
baylee                   beɪli                    
baylen                   beɪlʌn                   
bayles                   beɪlz                    
bayless                  beɪlɪs                   
bayley                   beɪli                    
bayliff                  beɪlɪf                   
bayliner                 beɪlaɪnɹ̩                
baylis                   beɪlɪs                   
bayliss                  beɪlɪs                   
baylon                   beɪlɑn                   
baylor                   beɪlɹ̩                   
bayly                    beɪli                    
bayman                   beɪmʌn                   
baynard                  beɪnɹ̩d                  
bayne                    beɪn                     
baynes                   beɪnz                    
baynham                  beɪnhʌm                  
bayog                    beɪɑɡ                    
bayonet                  beɪʌnɛt                  
bayonets                 beɪʌnɛts                 
bayonne                  beɪjoʊn                  
bayou                    baɪu                     
bayous                   baɪuz                    
bayouth                  baɪuθ                    
bayreuth                 beɪɹɔɪθ                  
bays                     beɪz                     
bayse                    beɪz                     
bayside                  beɪsaɪd                  
baysinger                beɪsɪndʒɹ̩               
baytown                  beɪtaʊn                  
baytree                  beɪtɹi                   
baytree's                beɪtɹiz                  
bayuk                    beɪʌk                    
bayul                    beɪʌl                    
bayus                    beɪʌs                    
baywatch                 beɪwɑtʃ                  
baz                      bæz                      
bazaar                   bʌzɑɹ                    
bazaars                  bʌzɑɹz                   
bazan                    beɪzʌn                   
bazar                    bʌzɑɹ                    
baze                     beɪz                     
bazemore                 bɑzmɔɹ                   
bazhan                   bæzʌn                    
bazile                   bɑzaɪl                   
bazile(1)                bɑzil                    
bazinet                  bæzɪnɛt                  
bazooka                  bʌzukʌ                   
bazookas                 bʌzukʌz                  
bazzano                  bɑtsɑnoʊ                 
bazzell                  bæzʌl                    
bazzle                   bæzʌl                    
bbc                      bibisi                   
bbc's                    bibisis                  
bbq                      bibikju                  
bbq(1)                   bɑɹbɪkju                 
be                       bi                       
be(1)                    bi                       
be's                     biz                      
bea                      bi                       
beaber                   bibɹ̩                    
beabout                  bʌbut                    
beach                    bitʃ                     
beach's                  bitʃʌz                   
beacham                  bʌʃæm                    
beacham(1)               bitʃʌm                   
beachball                bitʃbɑl                  
beachballs               bitʃbɑlz                 
beachcomber              bitʃkoʊmɹ̩               
beachcombers             bitʃkoʊmɹ̩z              
beached                  bitʃt                    
beachem                  bikɪm                    
beacher                  bitʃɹ̩                   
beaches                  bitʃʌz                   
beaches(1)               bitʃɪz                   
beachfront               bitʃfɹɑnt                
beachfronts              bitʃfɹɑnts               
beachhead                bitʃhɛd                  
beachheads               bitʃhɛdz                 
beaching                 bitʃɪŋ                   
beachler                 bikʌlɹ̩                  
beachler(1)              bitʃlɹ̩                  
beachside                bitʃsaɪd                 
beachum                  bitʃʌm                   
beachy                   bitʃi                    
beacom                   bikʌm                    
beacon                   bikʌn                    
beacons                  bikʌnz                   
bead                     bid                      
beaded                   bidɪd                    
beadle                   bidʌl                    
beadles                  bidʌlz                   
beadling                 bidlɪŋ                   
beads                    bidz                     
beadwork                 bidwɹ̩k                  
beady                    bidi                     
beagan                   bʌɡæn                    
beagen                   biɡʌn                    
beagle                   biɡʌl                    
beagle's                 biɡʌlz                   
beagles                  biɡʌlz                   
beagley                  biɡli                    
beahan                   bihʌn                    
beahm                    bim                      
beaird                   bɪɹd                     
beak                     bik                      
beaker                   bikɹ̩                    
beakley                  bikli                    
beaklike                 biklaɪk                  
beakman                  bikmʌn                   
beakman's                bikmʌnz                  
beal                     bil                      
beale                    bil                      
bealer                   bilɹ̩                    
beales                   bilz                     
bealeton                 biltʌn                   
beall                    bil                      
beals                    bilz                     
beam                     bim                      
beam's                   bimz                     
beaman                   bimʌn                    
beamed                   bimd                     
beamer                   bimɹ̩                    
beaming                  bimɪŋ                    
beamish                  bimɪʃ                    
beamon                   bimʌn                    
beams                    bimz                     
bean                     bin                      
bean's                   binz                     
beanblossom              binblʌsʌm                
beane                    bin                      
beans                    binz                     
beantown                 bintaʊn                  
bear                     bɛɹ                      
bear's                   bɛɹz                     
beara                    bɛɹʌ                     
bearable                 bɛɹʌbʌl                  
bearably                 bɛɹʌbli                  
bearce                   bɹ̩s                     
beard                    bɪɹd                     
bearded                  bɪɹdʌd                   
bearden                  bɪɹdʌn                   
beardmore                bɪɹdmɔɹ                  
beards                   bɪɹdz                    
beardslee                bɪɹdzli                  
beardsley                bɪɹdzli                  
beardstown               bɪɹdstaʊn                
beare                    bɪɹ                      
bearer                   bɛɹɹ̩                    
bearers                  bɛɹɹ̩z                   
bearfield                bɹ̩fild                  
bearing                  bɛɹɪŋ                    
bearings                 bɛɹɪŋz                   
bearish                  bɛɹɪʃ                    
bearishly                bɛɹɪʃli                  
bearishness              bɛɹɪʃnʌs                 
bearman                  bɛɹmʌn                   
bears                    bɛɹz                     
bears'                   bɛɹz                     
bearse                   bɹ̩s                     
bearss                   bɹ̩s                     
bearup                   bɛɹʌp                    
beary                    bɪɹi                     
beas                     biz                      
beasley                  bizli                    
beason                   bizʌn                    
beast                    bist                     
beastie                  bisti                    
beastly                  bistli                   
beaston                  bistʌn                   
beasts                   bists                    
beat                     bit                      
beata                    biætʌ                    
beaten                   bitʌn                    
beater                   bitɹ̩                    
beaters                  bitɹ̩z                   
beatie                   biti                     
beatified                biætʌfaɪd                
beatify                  biætʌfaɪ                 
beating                  bitɪŋ                    
beatings                 bitɪŋz                   
beatle                   bitʌl                    
beatles                  bitʌlz                   
beatles'                 bitʌlz                   
beatnik                  bitnɪk                   
beatniks                 bitnɪks                  
beato                    biætoʊ                   
beaton                   bitʌn                    
beatrice                 biʌtɹɪs                  
beatrice's               biʌtɹɪsɪz                
beatrix                  biʌtɹɪks                 
beats                    bits                     
beatson                  bitsʌn                   
beattie                  biti                     
beatty                   biti                     
beatty(1)                beɪti                    
beaty                    biti                     
beau                     boʊ                      
beaubien                 boʊbjɛn                  
beaucage                 boʊkeɪdʒ                 
beauce                   boʊs                     
beauchaine               boʊʃeɪn                  
beauchamp                boʊʃɑmp                  
beauchemin               boʊʃɪmæn                 
beauchene                boʊʃeɪn                  
beauchesne               boʊʃɛn                   
beaucoup                 boʊku                    
beaudet                  boʊdɛt                   
beaudette                boʊdɛt                   
beaudin                  boʊdæn                   
beaudoin                 boʊdɔɪn                  
beaudreau                boʊdɹoʊ                  
beaudry                  boʊdɹi                   
beauford                 boʊfɔɹd                  
beaufort                 boʊfɹ̩t                  
beaufrere                boʊfɹɛɹ                  
beaujolais               boʊdʒoʊleɪ               
beaulac                  boʊlæk                   
beaulieu                 boʊljʊ                   
beaumier                 boʊmiɹ̩                  
beaumont                 boʊmɔnt                  
beaupre                  boʊpɹeɪ                  
beauregard               boʊɹɪɡɑɹd                
beauregard(1)            bɔɹɪɡɑɹd                 
beausoleil               boʊsʌleɪ                 
beautician               bjutɪʃʌn                 
beauties                 bjutiz                   
beautiful                bjutʌfʌl                 
beautifullest            bjutʌfʌlʌst              
beautifullest(1)         bjutʌflʌst               
beautifully              bjutʌfli                 
beautify                 bjutɪfaɪ                 
beauty                   bjuti                    
beauvais                 boʊveɪ                   
beaux                    boʊ                      
beavan                   bɛvʌn                    
beaven                   bivʌn                    
beaver                   bivɹ̩                    
beavers                  bivɹ̩z                   
beaverson                bivɹ̩sʌn                 
beaverton                bivɹ̩tʌn                 
beavin                   bivɪn                    
beavis                   bivʌs                    
beazer                   bizɹ̩                    
beazley                  bizli                    
bebb                     bɛb                      
bebber                   bɛbɹ̩                    
bebbits                  bɛbʌts                   
bebe                     bibi                     
bebe's                   bibiz                    
bebear                   bʌbɪɹ                    
bebeau                   bɪboʊ                    
bebee                    bɛbi                     
beber                    bibɹ̩                    
bebitch                  bɛbɪtʃ                   
bebop                    bibɑp                    
bebout                   bɪbut                    
bec                      bɛk                      
becalm                   bɪkɑm                    
becalmed                 bɪkɑmd                   
became                   bɪkeɪm                   
became(1)                bikeɪm                   
because                  bɪkɔz                    
because(1)               bɪkʌz                    
because(2)               bɪkɑz                    
because(3)               bɪkʌz                    
becca                    bɛkɑ                     
becerra                  bɛtʃɛɹɑ                  
becerril                 beɪsɛɹil                 
bechard                  bɛkɹ̩d                   
becher                   bɛkɹ̩                    
becherer                 bɛkɹ̩ɹ̩                  
bechler                  bɛklɹ̩                   
becht                    bɛkt                     
bechtel                  bɛktɛl                   
bechtelsville            bɛktɛlzvɪl               
bechthold                bɛkθoʊld                 
bechtle                  bɛtʃtʌl                  
bechtol                  bɛktʌl                   
bechtold                 bɛktoʊld                 
beck                     bɛk                      
beck's                   bɛks                     
becka                    bɛskʌ                    
beckel                   bɛkɛl                    
becker                   bɛkɹ̩                    
becker's                 bɛkɹ̩z                   
beckerman                bɛkɹ̩mʌn                 
beckers                  bɛkɹ̩z                   
beckert                  bɛkɹ̩t                   
becket                   bɛkʌt                    
beckett                  bɛkɪt                    
beckford                 bɛkfɔɹd                  
beckham                  bɛkhæm                   
becki                    bɛki                     
beckie                   bɛki                     
beckius                  bɛkiɪs                   
beckler                  bɛklɹ̩                   
beckles                  bɛkʌlz                   
beckley                  bɛkli                    
becklund                 bɛklʌnd                  
beckman                  bɛkmʌn                   
beckmann                 bɛkmʌn                   
beckmeyer                bɛkmaɪɹ̩                 
becknell                 bɛknɛl                   
beckner                  bɛknɹ̩                   
beckom                   bɛkɑm                    
beckon                   bɛkʌn                    
beckoned                 bɛkʌnd                   
beckoning                bɛkʌnɪŋ                  
beckons                  bɛkʌnz                   
becks                    bɛks                     
beckstead                bɛkstɛd                  
beckstrand               bɛkstɹænd                
beckstrom                bɛkstɹɑm                 
beckum                   bɛkʌm                    
beckwith                 bɛkwɪθ                   
beckwith's               bɛkwɪθs                  
beckwitt                 bɛkwɪt                   
beckworth                bɛkwɹ̩θ                  
beckworth's              bɛkwɹ̩θs                 
becky                    bɛki                     
becnel                   bɛknʌl                   
beco                     bikoʊ                    
become                   bɪkʌm                    
becomes                  bɪkʌmz                   
becoming                 bɪkʌmɪŋ                  
becor                    bɛkɔɹ                    
becor's                  bɛkɔɹz                   
becraft                  bikɹæft                  
becton                   bɛktʌn                   
becvar                   bɛkvɹ̩                   
bed                      bɛd                      
beda                     beɪdʌ                    
bedard                   bɪdɑɹd                   
bedbug                   bɛdbʌɡ                   
bedbugs                  bɛdbʌɡz                  
bedchamber               bɛdtʃeɪmbɹ̩              
bedded                   bɛdɪd                    
bedding                  bɛdɪŋ                    
beddingfield             bɛdɪŋfild                
beddoe                   bɛdoʊ                    
beddors                  bɛdɹ̩z                   
beddow                   bɛdoʊ                    
bede                     bid                      
bedeck                   bɪdɛk                    
bedecked                 bɪdɛkt                   
bedel                    bɪdɛl                    
bedell                   bɛdʌl                    
bedenbaugh               bɛdɪnbaʊ                 
bedevil                  bɪdɛvʌl                  
bedeviled                bɪdɛvʌld                 
bedfellow                bɛdfɛloʊ                 
bedfellows               bɛdfɛloʊz                
bedford                  bɛdfɹ̩d                  
bedgood                  bɛdɡʊd                   
bedient                  bidjɪnt                  
bedinger                 bɛdɪŋɹ̩                  
bedingfield              bɛdɪŋfild                
bedke                    bɛdki                    
bedlam                   bɛdlʌm                   
bedlington               bɛdlɪŋtʌn                
bedminster               bɛdmɪnstɹ̩               
bednar                   bɛdnɹ̩                   
bednarczyk               bɛdnɹ̩tʃɪk               
bednarek                 bɛdnɑɹɛk                 
bednarik                 bɛdnɑɹɪk                 
bednarski                bɛdnɑɹski                
bednarz                  bɛdnɑɹz                  
bedner                   bɛdnɹ̩                   
bednorz                  bɛdnɔɹz                  
bedolla                  bɛdoʊlʌ                  
bedore                   bɛdɔɹ                    
bedouin                  bɛdoʊʌn                  
bedouin(1)               bɛduɪn                   
bedouin(2)               bɛdʌwʌn                  
bedouins                 bɛdoʊʌnz                 
bedouins(1)              bɛduɪnz                  
bedouins(2)              bɛdʌwʌnz                 
bedoya                   beɪdɔɪʌ                  
bedpan                   bɛdpæn                   
bedpans                  bɛdpænz                  
bedraggle                bɪdɹæɡʌl                 
bedraggled               bɪdɹæɡʌld                
bedridden                bɛdɹɪdʌn                 
bedrock                  bɛdɹɑk                   
bedroom                  bɛdɹum                   
bedrooms                 bɛdɹumz                  
bedrosian                bɛdɹɑʒɪn                 
bedrosian(1)             bʌdɹoʊziʌn               
beds                     bɛdz                     
bedsaul                  bɛdsɔl                   
bedside                  bɛdsaɪd                  
bedsole                  bɛdsoʊl                  
bedspread                bɛdspɹɛd                 
bedstraw                 bɛdstɹɔ                  
bedtime                  bɛdtaɪm                  
bedwell                  bɛdwɛl                   
bee                      bi                       
bee's                    biz                      
beeba's                  bibʌz                    
beebe                    bibi                     
beebe's                  bibiz                    
beebes                   bibiz                    
beebower                 biboʊɹ̩                  
beebower(1)              bibaʊɹ̩                  
beeby                    bibi                     
beech                    bitʃ                     
beecham                  bitʃʌm                   
beecham's                bitʃʌmz                  
beechcraft               bitʃkɹæft                
beecher                  bitʃɹ̩                   
beechler                 bitʃlɹ̩                  
beechwood                bitʃwʊd                  
beechy                   bitʃi                    
beeck                    bik                      
beecroft                 bikɹɔft                  
beede                    bid                      
beedie                   bidi                     
beedle                   bidʌl                    
beedy                    bidi                     
beef                     bif                      
beefeater                bifitɹ̩                  
beefed                   bift                     
beeferman                bifɹ̩mʌn                 
beefing                  bifɪŋ                    
beefs                    bifs                     
beefsteak                bifsteɪk                 
beefy                    bifi                     
beeghly                  biɡli                    
beegle                   biɡʌl                    
beehive                  bihaɪv                   
beehler                  bilɹ̩                    
beek                     bik                      
beekeeper                bikipɹ̩                  
beekeepers               bikipɹ̩z                 
beekeeping               bikipɪŋ                  
beeker                   bikɹ̩                    
beekman                  bikmʌn                   
beeks                    biks                     
beel                     bil                      
beeler                   bilɹ̩                    
beem                     bim                      
beeman                   bimʌn                    
beemer                   bimɹ̩                    
been                     bɪn                      
been(1)                  bʌn                      
been(2)                  bɪn                      
beene                    bin                      
beeney                   bini                     
beenken                  biŋkʌn                   
beens                    bɪnz                     
beep                     bip                      
beeped                   bipt                     
beeper                   bipɹ̩                    
beepers                  bipɹ̩z                   
beeping                  bipɪŋ                    
beeps                    bips                     
beer                     bɪɹ                      
beer's                   biɹz                     
beerbower                bɪɹboʊɹ̩                 
beerman                  bɪɹmʌn                   
beers                    bɪɹz                     
beers'                   bɪɹz                     
beers's                  bɪɹzɪz                   
beery                    bɪɹi                     
bees                     biz                      
beese                    biz                      
beesley                  bizli                    
beeson                   bizʌn                    
beet                     bit                      
beethoven                beɪtoʊvʌn                
beethoven's              beɪtoʊvʌnz               
beethovenian             beɪtoʊviniʌn             
beetle                   bitʌl                    
beetlejuice              bitʌldʒus                
beetles                  bitʌlz                   
beeton                   bitʌn                    
beets                    bits                     
beever                   bivɹ̩                    
beevers                  bivɹ̩z                   
beezley                  bizli                    
befall                   bɪfɔl                    
befallen                 bʌfɑlʌn                  
befalls                  bɪfɔlz                   
befalto                  bʌfɑltoʊ                 
befell                   bɪfɛl                    
beffa                    bɪfɑ                     
befit                    bɪfɪt                    
befits                   bɪfɪts                   
befitting                bɪfɪtɪŋ                  
before                   bɪfɔɹ                    
before(1)                bifɔɹ                    
beforehand               bɪfɔɹhænd                
befort                   bɛfɹ̩t                   
befriend                 bɪfɹɛnd                  
befriended               bɪfɹɛndɪd                
befriending              bɪfɹɛndɪŋ                
befriends                bɪfɹɛndz                 
befuddle                 bɪfʌdʌl                  
befuddled                bɪfʌdʌld                 
befuddles                bɪfʌdʌlz                 
beg                      bɛɡ                      
begajah                  bɛɡɑdʒʌ                  
begala                   bɛɡɑlʌ                   
begala's                 bɛɡɑlʌz                  
began                    bɪɡæn                    
began(1)                 biɡæn                    
begat                    bɪɡæt                    
begay                    bɛɡeɪ                    
begel                    beɪɡʌl                   
begelman                 beɪɡʌlmʌn                
begeman                  biɡmʌn                   
beger                    bɛɡɹ̩                    
beget                    bɪɡɛt                    
begets                   bɪɡɛts                   
begetting                bɪɡɛtɪŋ                  
begg                     bɛɡ                      
beggar                   bɛɡɹ̩                    
beggars                  bɛɡɹ̩z                   
begged                   bɛɡd                     
begging                  bɛɡɪŋ                    
beggs                    bɛɡz                     
beghin                   bɛɡɪn                    
begin                    bɪɡɪn                    
begin's                  bɪɡɪnz                   
beginner                 bɪɡɪnɹ̩                  
beginner's               bɪɡɪnɹ̩z                 
beginners                bɪɡɪnɹ̩z                 
beginning                bɪɡɪnɪŋ                  
beginnings               bɪɡɪnɪŋz                 
begins                   bɪɡɪnz                   
begleiter                bɛɡlaɪtɹ̩                
begleiter's              bɛɡlaɪtɹ̩z               
begley                   bɛɡli                    
begnaud                  bɪɡnoʊ                   
begnoche                 bɛɡnoʊki                 
begonia                  bɪɡoʊnjʌ                 
begonias                 bɪɡoʊnjʌz                
begot                    biɡɔt                    
begotten                 biɡɔtɪn                  
begrudge                 bɪɡɹʌdʒ                  
begs                     bɛɡz                     
begue                    beɪɡ                     
beguelin                 beɪɡʌlɪn                 
beguile                  bɪɡaɪl                   
beguiled                 bɪɡaɪld                  
beguiling                bɪɡaɪlɪŋ                 
begun                    bɪɡʌn                    
begun(1)                 beɪɡʌn                   
behalf                   bɪhæf                    
behan                    bɛhʌn                    
behar                    bɛhɹ̩                    
behave                   bɪheɪv                   
behaved                  bɪheɪvd                  
behaves                  bɪheɪvz                  
behaving                 bɪheɪvɪŋ                 
behavior                 bɪheɪvjɹ̩                
behavioral               bɪheɪvjɹ̩ʌl              
behavioral(1)            biheɪvjɹ̩ʌl              
behaviorally             biheɪvjɹ̩ʌli             
behaviorist              bɪheɪvjɹ̩ɪst             
behaviorists             bɪheɪvjɹ̩ɪsts            
behaviors                bɪheɪvjɹ̩z               
behaviour                bɪheɪvjɹ̩                
behaviours               bɪheɪvjɹ̩z               
behead                   bɪhɛd                    
behead(1)                bihɛd                    
beheaded                 bɪhɛdɪd                  
beheading                bɪhɛdɪŋ                  
beheadings               bɪhɛdɪŋz                 
beheld                   bihɛld                   
beheler                  bɛhʌlɹ̩                  
behemoth                 bʌhimʌθ                  
behemoth(1)              bihʌmʌθ                  
behemoths                bɪhimʌθs                 
behest                   bɪhɛst                   
behind                   bɪhaɪnd                  
behinds                  bɪhaɪndz                 
behl                     bɛl                      
behle                    bɛhʌl                    
behler                   bɛlɹ̩                    
behling                  bɛlɪŋ                    
behlke                   bɛlk                     
behm                     bɛm                      
behmer                   bɛmɹ̩                    
behn                     bɛn                      
behne                    bɛn                      
behner                   bɛnɹ̩                    
behney                   bɛni                     
